added Japan\Aichi at 35.18017,136.90656 for isolate 106
added Japan\Akita at 39.71806,140.10333 for isolate 213
added Brazil\Alagoas at -9.0,-36.0 for isolate 244
added Kazakhstan\Almati at 43.25,76.95 for isolate 307
added Kazakhstan\Almaty at 43.25,76.95 for isolate 308
added Japan\Amagasaki at 34.71667,135.41667 for isolate 312
added Jordan\Amman at 31.95522,35.94503 for isolate 314
added Italy\Ancona at 43.59816,13.51008 for isolate 326
added Spain\Andalucia at 37.6,-4.5 for isolate 359
added China\Anhui-Baohe at 30.55,118.05 for isolate 366
added China\Anhui-Dangtu at 31.46442,118.64003 for isolate 373
added China\Anhui-Huashan at 31.70296,118.50371 for isolate 374
added China\Anhui at 32.62639,116.99694 for isolate 376
added Turkey\Ankara-TR at 39.91987,32.85427 for isolate 383
added Turkey\Ankara at 39.91987,32.85427 for isolate 384
added Belgium\Antwerp at 51.21667,4.41667 for isolate 422
added Spain\Aragon at 41.0,-1.0 for isolate 423
added Russia\Arkhangelsk at 64.54722,40.54861 for isolate 505
added Turkmenistan\Ashgabat at 37.95,58.38333 for isolate 506
added India\Assam at 26.0,93.0 for isolate 507
added Kazakhstan\Astana at 51.1801,71.44598 for isolate 524
added Russia\Astrakhan at 46.34944,48.04917 for isolate 526
added Greece\Athens at 37.97945,23.71622 for isolate 528
added New Zealand\Auckland at -36.86667,174.76667 for isolate 651
added Germany\Baden-Wuerttemberg at 48.75,8.25 for isolate 875
added Germany\Baden-Wurttemberg at 48.5,9.0 for isolate 878
added Brazil\Bahia at -12.97111,-38.51083 for isolate 879
added Spain\Baleares at 39.22268,2.43347 for isolate 890
added Mali\Bamako at 12.65,-8.0 for isolate 896
added Thailand\Bangkok at 13.75,100.51667 for isolate 897
added China\Baofeng at 39.01667,106.7 for isolate 906
added China\Qinghai at 36.0,96.0 for isolate 907
added Spain\Barcelona at 41.38879,2.15899 for isolate 916
added Italy\Bari at 41.11773,16.85118 for isolate 920
added Russia\Barnaul at 53.36056,83.76361 for isolate 921
added Germany\Bayern at 49.32639,12.10972 for isolate 923
added China\Beijing-Huairou at 40.31333,116.62889 for isolate 930
added China\Beijing-Xicheng at 39.92984,116.33846 for isolate 935
added China\Beijing-Xuanwu at 39.88178,116.35168 for isolate 946
added China\Beijing at 39.9075,116.39723 for isolate 954
added United Kingdom\Belfast at 54.58333,-5.93333 for isolate 1016
added Russia\Belgorod at 50.603,36.587 for isolate 1018
added Serbia\Belgrade at 44.80401,20.46513 for isolate 1020
added Germany\Berlin at 52.52437,13.41053 for isolate 1030
added Spain\Bilbao at 43.26271,-2.92528 for isolate 1063
added Kyrgyzstan\Bishkek at 42.87306,74.60028 for isolate 1066
added Germany\Bochum at 51.48333,7.21667 for isolate 1073
added Colombia\Bogota at 4.60971,-74.08175 for isolate 1079
added Germany\Bonn at 50.73333,7.1 for isolate 1084
added Germany\Brandenburg at 52.5,13.5 for isolate 1170
added Slovakia\Bratislava at 48.14816,17.10674 for isolate 1173
added Germany\Bremen at 53.07516,8.80777 for isolate 1196
added Australia\Brisbane at -27.46794,153.02809 for isolate 1199
added Canada\British Columbia at 49.08333,-122.35 for isolate 1208
added Belgium\Brussels at 50.8466,4.35277 for isolate 1229
added Russia\Bryansk at 53.2875,34.38056 for isolate 1237
added Romania\Bucuresti at 44.43225,26.10626 for isolate 1238
added Argentina\Buenos Aires at -34.61315,-58.37723 for isolate 1240
added Turkey\Bursa-TR at 40.19167,29.06111 for isolate 1259
added South Korea\Busan at 35.10278,129.04028 for isolate 1261
added France\Caen at 49.18109,-0.37122 for isolate 1267
added Italy\Cagliari at 39.20738,9.13462 for isolate 1270
added Australia\Cameron at -15.31667,145.13333 for isolate 1610
added Germany\Bavaria at 48.5,11.5 for isolate 1611
added Canada\Canada-AB at 52.28333,-117.469 for isolate 1615
added Canada\Canada-MB at 55.00019,-97.00049 for isolate 1618
added Canada\Canada-NS at 45.00015,-62.99865 for isolate 1626
added Canada\Canada-ON at 43.25012,-79.06627 for isolate 1632
added Canada\Canada-QC at 52.00017,-71.99907 for isolate 1638
added Canada\Canada-SK at 54.0001,-106.00099 for isolate 1641
added Spain\Canarias at 28.0,-15.5 for isolate 1652
added Mauritius\Candos at -20.27694,57.47194 for isolate 1654
added New Zealand\Canterbury at -43.5,171.5 for isolate 1655
added Spain\Castilla-La Mancha at 39.5,-3.0 for isolate 1738
added Chile\Castro at -43.0,-74.0 for isolate 1743
added Spain\Catalonia at 41.82046,1.86768 for isolate 1744
added Argentina\Chaco at -26.0,-60.5 for isolate 2049
added China\Changsha at 28.2,112.96667 for isolate 2050
added India\Che at 27.75,88.5 for isolate 2056
added Russia\Chelyabinsk at 55.15444,61.42972 for isolate 2057
added China\Chengdu at 30.66667,104.06667 for isolate 2059
added Japan\Chiba at 35.60472,140.12333 for isolate 2080
added Indonesia\Agam at -0.19551,100.18421 for isolate 2083
