"EPI_ISL_9312","PB2: EPI97495 / PB1: EPI97455 / PA: EPI97415 / HA: EPI97175 / NP: EPI97315 / NA: EPI97275 / MP: EPI97215 / NS: EPI97355","A/Bar-headed Goose/Qinghai/59/05","A / H5N1",,,"Asia / China / Qinghai Province","Goose","Unknown user","Public Domain Database Import",,,,"59","2005",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_2266","PB2: EPI10567 / PB1: EPI10619 / PA: EPI10671 / HA: EPI10309 / NP: EPI10515 / NA: EPI10463 / MP: EPI10361 / NS: EPI10413","A/Goose/Hong Kong/ww100/01","A / H5N1",,,"Asia / Hong Kong (SAR)","Goose","Unknown user","Public Domain Database Import",,,,"ww100","2001",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_2079","PB2: EPI9114 / PB1: EPI9110 / PA: EPI9118 / HA: EPI9098 / NP: EPI9102 / NA: EPI9106 / MP: EPI9122 / NS: EPI9126","A/Goose/Hong Kong/385.3/2000","A / H5N1",,,"Asia / Hong Kong (SAR)","Goose","Unknown user","Public Domain Database Import",,,,"385,3","2000",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_1254","PB2: EPI5779 / PB1: EPI5781 / PA: EPI5783 / HA: EPI5797, EPI5789 / NP: EPI5785 / NA: EPI5787 / MP: EPI5791 / NS: EPI5794","A/Goose/Guangdong/1/96","A / H5N1",,,"Asia / China / Guangdong Province","Goose","Unknown user","Public Domain Database Import",,,,"1","1996",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_1152","PB2: EPI5078 / PB1: EPI5106 / PA: EPI5132 / HA: EPI4983 / NP: EPI5156 / NA: EPI5001 / MP: EPI5037 / NS: EPI5061","A/Goose/Hong Kong/w355/97","A / H5N1",,,"Asia / Hong Kong (SAR)","Goose","Unknown user","Public Domain Database Import",,,,"w355","1997",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_69731","PB2: EPI241736 / PB1: EPI241735 / PA: EPI241734 / HA: EPI241729 / NP: EPI241732 / NA: EPI241731 / MP: EPI241730 / NS: EPI241733","A/grey lag goose/Denmark/6692/2006","A / H5N1",,,"Europe / Denmark / Region Syddanmark / Svendborg Kommune","Anser anser","Kurt Jensen Handberg (National Veterinary Institute / Technical University of Denmark)","Statens Serum Institut",,"Bragstad,K.; Fomsgaard,A.; Jorgensen,P.H.; Hammer,A.S.; Kabell,S.; Handberg,K.","National Veterinary Institute","78-06.692","2006-03-21",,"2010-02-04",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,0,,"TSW","DAD","WLD","no"
"EPI_ISL_64343","PB2: EPI225060 / PB1: EPI225056 / PA: EPI225059 / HA: EPI225053 / NP: EPI225058 / NA: EPI225054 / MP: EPI225057 / NS: EPI225055","A/common gull/Chany/P/2006","A / H5N1",,,"Europe / Russian Federation","Gull","Initial import","Public Domain Database Import",,"Spackman,E.; Evseenko,V.; Sharshov,K.; Ternovoi,V.; Lipatov,A.; Shestopalov,A.; Swayne,D.",,,"2006-07-18",,"2009-12-16",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,0,,,,,"yes"
"EPI_ISL_6929","PB2: EPI58731 / PB1: EPI58728 / PA: EPI58726 / HA: EPI58714 / NP: EPI58721 / NA: EPI58719 / MP: EPI58716 / NS: EPI58723","A/ostrich/Italy/1038/2000","A / H7N1",,"Egg 1","Europe / Italy","Ostrich","Unknown user","Public Domain Database Import",,,,"1038","2000-02-09",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_15642","PB2: EPI135741 / PB1: EPI135743 / PA: EPI135746 / HA: EPI135748 / NP: EPI135750 / NA: EPI135752 / MP: EPI135754 / NS: EPI135757","A/partridge/Shantou/2886/2003","A / H5N1",,,"Asia / China","Partridge","Unknown user","Public Domain Database Import",,,,"2886","2003",,"2010-02-09",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,0,,,,,"yes"
"EPI_ISL_20031","PB2: EPI154804 / PB1: EPI154805 / PA: EPI154806 / HA: EPI154807 / NP: EPI154808 / NA: EPI154809 / MP: EPI154810 / NS: EPI154811","A/Kalij pheasant/Thailand/vsmu-1/2008","A / H5N1",,,"Asia / Thailand","Pheasant","Unknown user","Public Domain Database Import",,,,"vsmu-1","2008",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_64935","PB2: EPI227540 / PB1: EPI227539 / PA: EPI227538 / HA: EPI227541 / NP: EPI227536 / NA: EPI227535 / MP: EPI227534 / NS: EPI227537","A/swan/Astrakhan/Russia/Nov-2/2005","A / H5N1",,,"Europe / Russian Federation","Swan","Initial import","Public Domain Database Import",,"Yatsyshina,S.B.; Braslavskaya,S.I.; Shipulin,G.A.",,,"2005",,"2009-04-15",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_6891","PB2: EPI57952 / PB1: EPI57949 / PA: EPI57947 / HA: EPI57935 / NP: EPI57942 / NA: EPI57940 / MP: EPI57937 / NS: EPI57944","A/cygnus olor/Italy/808/2006","A / H5N1",,"Egg 1","Europe / Italy / Apulia","Swan","Unknown user","Public Domain Database Import",,,,"808","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_6414","PB2: EPI47749 / PB1: EPI47746 / PA: EPI47744 / HA: EPI47732 / NP: EPI47739 / NA: EPI47737 / MP: EPI47734 / NS: EPI47741","A/swan/Slovenia/760/2006","A / H5N1",,"Egg 1","Europe / Slovenia","Swan","Unknown user","Public Domain Database Import",,,,"760","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_6381","PB2: EPI47122 / PB1: EPI47119 / PA: EPI47117 / HA: EPI47105 / NP: EPI47112 / NA: EPI47110 / MP: EPI47107 / NS: EPI47114","A/cygnus cygnus/Iran/754/2006","A / H5N1",,"Egg 1","Asia / Iran, Islamic Republic of","Swan","Unknown user","Public Domain Database Import",,,,"754","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_69722","PB2: EPI241663 / PB1: EPI241662 / PA: EPI241661 / HA: EPI241656 / NP: EPI241659 / NA: EPI241658 / MP: EPI241657 / NS: EPI241664","A/whooper swan/Denmark/7275/2006","A / H5N1",,,"Europe / Denmark / Region Hovedstaden / Rudersdal","Cygnus cygnus","Kurt Jensen Handberg (National Veterinary Institute / Technical University of Denmark)","Statens Serum Institut",,"Bragstad,K.; Fomsgaard,A.; Jorgensen,P.H.; Hammer,A.S.; Kabell,S.; Handberg,K.","National Veterinary Institute","78-07.275","2006-04-05",,"2010-02-04",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,0,,"TSW","DAD","WLD","no"
"EPI_ISL_294","PB2: EPI1310 / PB1: EPI1312 / PA: EPI1314 / HA: EPI1256 / NP: EPI1316 / NA: EPI1318 / MP: EPI1320 / NS: EPI1323","A/whooper swan/Mongolia/6/05","A / H5N1",,,"Asia / Mongolia","Cygnus cygnus","Unknown user","Public Domain Database Import",,,,"6","2005",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_31502","PB2: EPI184094 / PB1: EPI184093 / PA: EPI184092 / HA: EPI184087 / NP: EPI184090 / NA: EPI184089 / MP: EPI184088 / NS: EPI184091","A/mute swan/Hungary/4571/2006","A / H5N1",,,"Europe / Hungary","Cygnus olor","Unknown user","Public Domain Database Import",,,,"4571","2006-02-16",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_27764","PB2: EPI171609 / PB1: EPI171610 / PA: EPI171611 / HA: EPI171612 / NP: EPI171613 / NA: EPI171614 / MP: EPI171615 / NS: EPI171616","A/Cygnus olor/Germany/R1372/2007","A / H5N1",,,"Europe / Germany","Cygnus olor","Unknown user","Public Domain Database Import",,,,"R1372","2007",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_25913","PB2: EPI168531 / PB1: EPI168530 / PA: EPI168529 / HA: EPI168524 / NP: EPI168528 / NA: EPI168525 / MP: EPI168526 / NS: EPI168527","A/mute swan/Aktau/1460/2006","A / H5N1",,,"Asia / Kazakhstan","Cygnus olor","Unknown user","Public Domain Database Import",,,,"1460","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_15692","PB2: EPI136601 / PB1: EPI136741 / PA: EPI136729 / HA: EPI136631 / NP: EPI136689 / NA: EPI136669 / MP: EPI136654 / NS: EPI136712","A/Cygnus olor/Czech Republic/10732/07","A / H5N1",,,"Europe / Czech Republic","Cygnus olor","Unknown user","Public Domain Database Import",,,,"10732","2007-06-25",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_63641","PB2: EPI222709 / PB1: EPI222708 / PA: EPI222707 / HA: EPI222702 / NP: EPI222705 / NA: EPI222704 / MP: EPI222703 / NS: EPI222706","A/turkey/VA/505477-18/2007","A / H5N1",,,"North America / United States / Virginia","Turkey","Initial import","Public Domain Database Import",,"Kim,L.M.; Scott,M.A.; Suarez,D.L.; Spackman,E.; Swayne,D.E.; Senne,D.A.; Afonso,C.L.",,,"2007",,"2009-11-25",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_27763","PB2: EPI171601 / PB1: EPI171602 / PA: EPI171603 / HA: EPI171604 / NP: EPI171605 / NA: EPI171606 / MP: EPI171607 / NS: EPI171608","A/turkey/Poland/R3249/2007","A / H5N1",,,"Europe / Poland","Turkey","Unknown user","Public Domain Database Import",,,,"R3249","2007",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_22555","PB2: EPI158907 / PB1: EPI158908 / PA: EPI158909 / HA: EPI158906 / NP: EPI158910 / NA: EPI158904 / MP: EPI158905 / NS: EPI158903","A/turkey/SD/7034/1986","A / H1N1",,,"North America / United States / South Dakota","Turkey","Unknown user","Public Domain Database Import",,,,"7034","1986",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_21009","PB2: EPI68501 / PB1: EPI68498 / PA: EPI68496 / HA: EPI68484 / NP: EPI68491 / NA: EPI68489 / MP: EPI68486 / NS: EPI68493","A/turkey/Italy/3185/99","A / H7N1",,"Egg 1","Europe / Italy","Turkey","Unknown user","Public Domain Database Import",,,,"3185","1999-09-03",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_15690","PB2: EPI136597 / PB1: EPI136743 / PA: EPI136725 / HA: EPI136629 / NP: EPI136685 / NA: EPI136665 / MP: EPI136651 / NS: EPI136709","A/turkey/Czech Republic/10309-3/07","A / H5N1",,,"Europe / Czech Republic","Turkey","Unknown user","Public Domain Database Import",,,,"10309-3","2007-06-19",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_7508","PB2: EPI68463 / PB1: EPI68460 / PA: EPI68458 / HA: EPI68446 / NP: EPI68453 / NA: EPI68451 / MP: EPI68448 / NS: EPI68455","A/turkey/Italy/4482/1999","A / H7N1",,"Egg 1","Europe / Italy","Turkey","Unknown user","Public Domain Database Import",,,,"4482","1999-12-03",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_7030","PB2: EPI60707 / PB1: EPI60704 / PA: EPI60702 / HA: EPI60690 / NP: EPI60697 / NA: EPI60695 / MP: EPI60692 / NS: EPI60699","A/turkey/Italy/2984/2000","A / H7N1",,"Egg 1","Europe / Italy","Turkey","Unknown user","Public Domain Database Import",,,,"2984","2000-05-08",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_6930","PB2: EPI58750 / PB1: EPI58747 / PA: EPI58745 / HA: EPI58733 / NP: EPI58740 / NA: EPI58738 / MP: EPI58735 / NS: EPI58742","A/turkey/Ivory Coast/4372-2/2006","A / H5N1",,"Egg 1","Africa / Cote d'Ivoire","Turkey","Unknown user","Public Domain Database Import",,,,"4372-2","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
